date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2001-12-14,,2001-12-14,,2001-12-14,46624234.0,2001-12-14,1060.30474,2001-12-14,,2001-12-14,16746.5917,2001-12-14,,2001-12-14,,2001-12-14,
2001-12-21,,2001-12-21,,2001-12-21,20789521.0,2001-12-21,1060.30474,2001-12-21,,2001-12-21,17147.8221,2001-12-21,,2001-12-21,,2001-12-21,
2001-12-28,,2001-12-28,,2001-12-28,2008807.0,2001-12-28,1060.30474,2001-12-28,,2001-12-28,16994.9725,2001-12-28,,2001-12-28,,2001-12-28,
2002-01-04,,2002-01-04,,2002-01-04,4316161.0,2002-01-04,1060.30474,2002-01-04,,2002-01-04,16899.4414,2002-01-04,,2002-01-04,,2002-01-04,
2002-01-11,,2002-01-11,,2002-01-11,11296013.0,2002-01-11,1060.30474,2002-01-11,,2002-01-11,17405.7559,2002-01-11,,2002-01-11,,2002-01-11,
2002-01-18,,2002-01-18,,2002-01-18,9655807.0,2002-01-18,1060.30474,2002-01-18,,2002-01-18,17768.7739,2002-01-18,,2002-01-18,,2002-01-18,
2002-01-25,,2002-01-25,,2002-01-25,10139768.0,2002-01-25,1060.30474,2002-01-25,,2002-01-25,17959.836,2002-01-25,,2002-01-25,,2002-01-25,
2002-02-01,,2002-02-01,,2002-02-01,4990732.0,2002-02-01,1060.30474,2002-02-01,,2002-02-01,17692.3491,2002-02-01,,2002-02-01,,2002-02-01,
2002-02-08,,2002-02-08,,2002-02-08,5206786.0,2002-02-08,1060.30474,2002-02-08,,2002-02-08,17300.6718,2002-02-08,,2002-02-08,,2002-02-08,
2002-02-15,,2002-02-15,,2002-02-15,6483916.0,2002-02-15,1060.30474,2002-02-15,,2002-02-15,18103.1326,2002-02-15,,2002-02-15,,2002-02-15,
2002-02-22,,2002-02-22,,2002-02-22,2980807.0,2002-02-22,1060.30474,2002-02-22,,2002-02-22,17673.2429,2002-02-22,,2002-02-22,,2002-02-22,
2002-03-01,,2002-03-01,,2002-03-01,2236730.0,2002-03-01,1060.30474,2002-03-01,,2002-03-01,18198.6636,2002-03-01,,2002-03-01,,2002-03-01,
2002-03-08,,2002-03-08,,2002-03-08,6200373.0,2002-03-08,1079.06157,2002-03-08,,2002-03-08,18326.1566,2002-03-08,,2002-03-08,,2002-03-08,
2002-03-15,,2002-03-15,,2002-03-15,5967113.0,2002-03-15,1079.06157,2002-03-15,,2002-03-15,18666.4301,2002-03-15,,2002-03-15,,2002-03-15,
2002-03-22,,2002-03-22,,2002-03-22,13454336.0,2002-03-22,1079.06157,2002-03-22,,2002-03-22,20124.7449,2002-03-22,,2002-03-22,,2002-03-22,
2002-03-29,,2002-03-29,,2002-03-29,9364158.0,2002-03-29,1079.06157,2002-03-29,0.2451,2002-03-29,21271.9526,2002-03-29,,2002-03-29,,2002-03-29,
2002-04-05,,2002-04-05,,2002-04-05,7394381.0,2002-04-05,1079.06157,2002-04-05,0.2451,2002-04-05,21194.1758,2002-04-05,,2002-04-05,,2002-04-05,
2002-04-12,,2002-04-12,,2002-04-12,5308950.0,2002-04-12,1079.06157,2002-04-12,0.2451,2002-04-12,21281.6747,2002-04-12,,2002-04-12,,2002-04-12,
2002-04-19,,2002-04-19,,2002-04-19,6445357.0,2002-04-19,1079.06157,2002-04-19,0.2451,2002-04-19,22671.9349,2002-04-19,,2002-04-19,,2002-04-19,
2002-04-26,,2002-04-26,,2002-04-26,4184163.0,2002-04-26,1079.06157,2002-04-26,0.2451,2002-04-26,22817.7664,2002-04-26,,2002-04-26,,2002-04-26,
2002-05-03,,2002-05-03,,2002-05-03,2747500.0,2002-05-03,1079.06157,2002-05-03,0.2451,2002-05-03,21874.7227,2002-05-03,,2002-05-03,,2002-05-03,
2002-05-10,,2002-05-10,,2002-05-10,2703582.0,2002-05-10,1079.06157,2002-05-10,0.2451,2002-05-10,23449.7028,2002-05-10,,2002-05-10,,2002-05-10,
2002-05-17,,2002-05-17,,2002-05-17,7003297.0,2002-05-17,1079.06157,2002-05-17,0.2451,2002-05-17,22428.8824,2002-05-17,,2002-05-17,,2002-05-17,
2002-05-24,,2002-05-24,,2002-05-24,6751104.0,2002-05-24,1079.06157,2002-05-24,0.2451,2002-05-24,23673.3111,2002-05-24,,2002-05-24,,2002-05-24,
2002-05-31,,2002-05-31,,2002-05-31,3399393.0,2002-05-31,1079.06157,2002-05-31,0.2451,2002-05-31,23819.1425,2002-05-31,,2002-05-31,,2002-05-31,
2002-06-07,,2002-06-07,,2002-06-07,3681958.0,2002-06-07,1079.06157,2002-06-07,0.2451,2002-06-07,23255.2608,2002-06-07,,2002-06-07,,2002-06-07,
2002-06-14,,2002-06-14,,2002-06-14,4648320.0,2002-06-14,1079.06157,2002-06-14,0.2451,2002-06-14,21991.3879,2002-06-14,,2002-06-14,,2002-06-14,
