date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-07-14,,2000-07-14,,2000-07-14,17226245.0,2000-07-14,795.38843,2000-07-14,,2000-07-14,14301.0839,2000-07-14,,2000-07-14,,2000-07-14,
2000-07-21,,2000-07-21,,2000-07-21,6075920.0,2000-07-21,795.38843,2000-07-21,,2000-07-21,14396.5305,2000-07-21,,2000-07-21,,2000-07-21,
2000-07-28,,2000-07-28,,2000-07-28,4145102.0,2000-07-28,795.38843,2000-07-28,,2000-07-28,14412.4383,2000-07-28,,2000-07-28,,2000-07-28,
2000-08-04,,2000-08-04,,2000-08-04,4201414.0,2000-08-04,795.38843,2000-08-04,,2000-08-04,14316.9917,2000-08-04,,2000-08-04,,2000-08-04,
2000-08-11,,2000-08-11,,2000-08-11,4438966.0,2000-08-11,795.38843,2000-08-11,,2000-08-11,14316.9917,2000-08-11,,2000-08-11,,2000-08-11,
2000-08-18,,2000-08-18,,2000-08-18,2360691.0,2000-08-18,795.38843,2000-08-18,,2000-08-18,13943.1591,2000-08-18,,2000-08-18,,2000-08-18,
2000-08-25,,2000-08-25,,2000-08-25,8351058.0,2000-08-25,795.38843,2000-08-25,,2000-08-25,14356.7611,2000-08-25,,2000-08-25,,2000-08-25,
2000-09-01,,2000-09-01,,2000-09-01,4258337.0,2000-09-01,795.38843,2000-09-01,,2000-09-01,14309.0378,2000-09-01,,2000-09-01,,2000-09-01,
2000-09-08,,2000-09-08,,2000-09-08,11796423.0,2000-09-08,795.38843,2000-09-08,,2000-09-08,15152.1495,2000-09-08,,2000-09-08,,2000-09-08,
2000-09-15,,2000-09-15,,2000-09-15,3942103.0,2000-09-15,795.38843,2000-09-15,,2000-09-15,15311.2272,2000-09-15,,2000-09-15,,2000-09-15,
2000-09-22,,2000-09-22,,2000-09-22,3746780.0,2000-09-22,795.38843,2000-09-22,,2000-09-22,14181.7757,2000-09-22,,2000-09-22,,2000-09-22,
2000-09-29,,2000-09-29,,2000-09-29,9874795.0,2000-09-29,807.15771,2000-09-29,,2000-09-29,16022.0806,2000-09-29,,2000-09-29,,2000-09-29,
2000-10-06,,2000-10-06,,2000-10-06,19320025.0,2000-10-06,807.15771,2000-10-06,,2000-10-06,17765.5413,2000-10-06,,2000-10-06,,2000-10-06,
2000-10-13,,2000-10-13,,2000-10-13,8714635.0,2000-10-13,807.15771,2000-10-13,,2000-10-13,16506.3753,2000-10-13,,2000-10-13,,2000-10-13,
2000-10-20,,2000-10-20,,2000-10-20,8757694.0,2000-10-20,807.15771,2000-10-20,,2000-10-20,17216.6741,2000-10-20,,2000-10-20,,2000-10-20,
2000-10-27,,2000-10-27,,2000-10-27,13700156.0,2000-10-27,807.15771,2000-10-27,,2000-10-27,18984.3495,2000-10-27,,2000-10-27,,2000-10-27,
2000-11-03,,2000-11-03,,2000-11-03,6382544.0,2000-11-03,807.15771,2000-11-03,,2000-11-03,18976.2779,2000-11-03,,2000-11-03,,2000-11-03,
2000-11-10,,2000-11-10,,2000-11-10,6684499.0,2000-11-10,807.15771,2000-11-10,,2000-11-10,19517.0735,2000-11-10,,2000-11-10,,2000-11-10,
2000-11-17,,2000-11-17,,2000-11-17,6886960.0,2000-11-17,807.15771,2000-11-17,,2000-11-17,19686.5767,2000-11-17,,2000-11-17,,2000-11-17,
2000-11-24,,2000-11-24,,2000-11-24,10004381.0,2000-11-24,807.15771,2000-11-24,,2000-11-24,18637.2716,2000-11-24,,2000-11-24,,2000-11-24,
2000-12-01,,2000-12-01,,2000-12-01,8344867.0,2000-12-01,807.15771,2000-12-01,,2000-12-01,19065.0652,2000-12-01,,2000-12-01,,2000-12-01,
2000-12-08,,2000-12-08,,2000-12-08,6198869.0,2000-12-08,807.15771,2000-12-08,,2000-12-08,18370.9096,2000-12-08,,2000-12-08,,2000-12-08,
2000-12-15,,2000-12-15,,2000-12-15,10301535.0,2000-12-15,807.15771,2000-12-15,,2000-12-15,16506.3753,2000-12-15,,2000-12-15,,2000-12-15,
2000-12-22,,2000-12-22,,2000-12-22,8262867.0,2000-12-22,807.15771,2000-12-22,,2000-12-22,18887.4905,2000-12-22,,2000-12-22,,2000-12-22,
2000-12-29,,2000-12-29,,2000-12-29,2056437.0,2000-12-29,807.15771,2000-12-29,,2000-12-29,19097.3515,2000-12-29,,2000-12-29,,2000-12-29,
2001-01-05,,2001-01-05,,2001-01-05,4302918.0,2001-01-05,807.15771,2001-01-05,,2001-01-05,17676.754,2001-01-05,,2001-01-05,,2001-01-05,
2001-01-12,,2001-01-12,,2001-01-12,16678323.0,2001-01-12,807.15771,2001-01-12,,2001-01-12,17959.2592,2001-01-12,,2001-01-12,,2001-01-12,
2001-01-19,,2001-01-19,,2001-01-19,8764485.0,2001-01-19,807.15771,2001-01-19,,2001-01-19,18564.6274,2001-01-19,,2001-01-19,,2001-01-19,
2001-01-26,,2001-01-26,,2001-01-26,7755472.0,2001-01-26,807.15771,2001-01-26,,2001-01-26,18669.5579,2001-01-26,,2001-01-26,,2001-01-26,
